Date,a[au],e[],i[rad],node[rad],omega[rad],mA[rad]
2043 JUN 16 12:39:19.5812559127808,2.6400680628104642,0.67127713,0.014368473332525776,-619.0595540553006,-624.2253338957349,9.199792242637221e-10
2034 MAY 12 15:28:48.3928465843201,2.073743211148752,0.6282078000000001,0.5730277566518397,6.6964962271130934,6.654154729298813,5.027591604946888e-09
2035 SEP 29 22:14:13.0546071529388,2.606727324032832,0.64018737,0.19085697224004342,4.414836186798662,2.6537742906212904,1.9065871228375198e-10
2049 MAR 22 08:51:09.7662985324860,0.9683549083624416,0.2739065,0.6464850869433144,1.238242427807981,5.830773002926497,1.3088689998142777e-08
2042 MAY 21 12:00:47.2340564727783,1.38360535870128,0.44078391,0.30908765271194916,0.0925074833457368,0.6922325636944201,1.9205033123491755e-08
2030 SEP 23 10:47:01.1952996253967,0.8982733058620463,0.45897098,0.13184585434037335,2.724210467652143,4.343201168196435,2.7091654087573768e-08
2031 SEP 04 03:21:13.8523354530335,2.3061712671254404,0.56760879,0.20867680135619804,0.8233950062334724,6.24332775968378,5.770994131623301e-09
2047 DEC 04 02:33:27.0195522308350,1.032960992379888,0.43426007,0.051605549747776445,2.6180813640579705,4.45128257892284,-5.689580162695198e-09
2041 MAR 26 20:38:43.7727441787720,2.919214273740336,0.79174469,3.1409735853041107,2.0147690755111833,5.048726667071416,-7.945095691676288e-10
2031 JUN 28 05:19:06.2299630641937,0.9869219884016063,0.4268415,0.2580098591140493,1.7742508894725797,5.294585835447142,8.817882058895761e-09
2032 JAN 16 08:44:25.0718741416931,3.4932651502525918,0.7707554,3.0924523849011174,0.28297275887334733,0.4965812311546579,-3.0001827943584354e-10
2053 MAR 06 05:45:12.0140080451965,2.411718172735872,0.58553445,0.15096011736824508,-1.1090901450754531,1.9003865250255545,2.6758139676006813e-06
2026 APR 27 05:04:28.7542058229446,2.1170530110238075,0.66068517,0.05488348752253204,-0.17227328163616568,0.9563781008721763,3.547613094634488e-07
2046 JUN 16 12:43:56.2110629081726,3.7997838035139835,0.77222592,0.01782638980881287,243.85760631051764,247.01480068236265,1.8453164195008212e-07
